observation_time,phase,g_magnitude,g_magnitude_error,rejected
1666.4766074395177,0.15963199999991168,18.621801645898877,0.016158554718386432,false
1666.6527645710844,0.4498561068601984,18.96243888181224,0.00989551543277337,false
1666.7267714436798,0.5717846277750465,19.043704562087235,0.010900639504098659,false
1666.902928654078,0.862008864512736,19.189977947436144,0.010246681929449566,false
1666.9769355269304,0.9839373858508836,18.30362241050503,0.01029467536477803,false
1667.1530926952757,0.27416155330502234,18.80283437376739,0.012679453368728355,false
1667.2270995565348,0.3960900555428147,18.924664470201,0.017687713370958636,false
1667.9775916482693,0.6325480694319161,19.05682834376139,0.022111355403770485,false
1668.1537487835544,0.9227721824184927,18.694961055015796,0.005418074296241794,false
1668.2277556577171,0.04470070591549697,18.36822499704754,0.012702449030233213,false
1668.4039127936362,0.3349248199464755,18.83995187264813,0.014110478797149035,false
1668.477919656214,0.45685332435698056,18.98843956720549,0.01666058490838089,false
1668.6540768046234,0.7470774589661323,19.038921638814713,0.03957624446761229,false
1668.7280836437667,0.869005924767619,19.199565053417935,0.008251888135727031,false
1668.9042407928182,0.15923006043464907,18.53666321917477,0.06279645922941048,false
1668.9782476559355,0.28115856573409526,18.794115691721096,0.003910947519436304,false
1669.2284117045788,0.6933112667931965,19.0252458380206,0.013237474185025445,false
1669.4045688193714,0.9835353460177706,18.290470147028824,0.011134962623292737,false
1669.4785756261467,0.10546375849198232,18.52774688993782,0.007735606449094707,false
1669.6547326870752,0.3956877489737857,18.917421379161834,0.01127575606228344,false
1669.728739562867,0.5176162751548307,19.006479339159892,0.012186396549247507,false
1669.9048966908244,0.8078403760686554,19.14556378211185,0.013715986689202321,false
1669.9789035550423,0.9297688831811751,18.595160401363273,0.06335869959204389,false
1670.4052245992225,0.6321454669875912,18.978225019639066,0.11684384997046247,false
1670.4792314521485,0.7540739554964855,19.073421979702335,0.01897273425246898,false
1670.6553885394396,0.044297989411471526,18.38626788102797,0.012328033906890972,false
1670.7293953689446,0.16622643933344083,18.622894440641375,0.006536438016741774,false
1670.9055524782436,0.4564505095071951,18.971273000376357,0.015678632409753847,false
1670.9795592985515,0.578378944276768,19.050834904628864,0.015768372098106682,false
1671.1557163966777,0.8686029960428047,19.177900190852633,0.01353480189356132,false
1671.2297232267533,0.9905314469050355,18.29322965830441,0.006998531101324505,false
1671.405880316081,0.28075548417536406,18.773813625262843,0.009601179365399556,false
